STI,CMDB ID,Application Name,SOA Applicable,SOA Status,ESS Self-Assessment Status,ESS Assessment URL,PIA Status,PIA Assessment URL,DPQ Complete,SIA Status,Criticality Tier,Data Classification,Install Status,Collection Method,Collection Date,Status
RNDA-001,RNDA-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256501,Pending Collection
ROG-001,ROG-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256503,Pending Collection
RSIG-001,RSIG-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256505,Pending Collection
SIGN-004,SIGN-004,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256507,Pending Collection
SIGS-001,SIGS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256508,Pending Collection
SIGS-002,SIGS-002,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256510,Pending Collection
SOAR-15,SOAR-15,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256512,Pending Collection
SOAR-446,SOAR-446,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256514,Pending Collection
SOAR-999,SOAR-999,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.256515,Pending Collection
SPMP-001,SPMP-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.257311,Pending Collection
SPRE-471,SPRE-471,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.257313,Pending Collection
